type,layer_type,layers_k1,layers_k2,dilated_path_join,learn_alpha_residual_connection,epoch,ckpt_epoch,ckpt_epoch_std,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
dilated_gnn,egatconv,3.0,3.0,concat,True,val_best,50.7,30.9647,0.1416,0.0034,1145407.0,20.6012,0.279,0.9632,0.0007,0.4948,0.2599,0.0383,0.035,0.0693,0.0614,0.727,0.0198
dilated_gnn,egatconv,3.0,3.0,none,False,val_best,34.0,28.8375,0.1436,0.003,1145104.0,19.9171,0.2198,0.9631,0.0006,0.5488,0.2036,0.0327,0.0267,0.0604,0.0475,0.7076,0.0213
dilated_gnn,egatconv,3.0,3.0,none,True,val_best,43.0,28.7541,0.144,0.0032,1145107.0,20.681,0.3884,0.9631,0.0006,0.4174,0.2767,0.0381,0.0352,0.0686,0.0625,0.7086,0.0164
dilated_gnn,eginconv,1.0,1.0,add,False,val_best,58.4,21.1906,0.0987,0.0099,599102.0,9.8737,0.1248,0.9705,0.0024,0.7393,0.0327,0.322,0.0778,0.4443,0.0858,0.893,0.0305
dilated_gnn,eginconv,1.0,1.0,add,True,val_best,58.7,13.1076,0.0997,0.0055,599103.0,10.1368,0.1099,0.9701,0.0013,0.7366,0.0204,0.3118,0.0398,0.4371,0.0428,0.8922,0.018
dilated_gnn,eginconv,1.0,1.0,concat,False,val_best,75.4,15.2591,0.0938,0.0052,599402.0,9.5291,0.145,0.9718,0.0012,0.7571,0.0164,0.3623,0.0381,0.4891,0.0385,0.9092,0.0152
dilated_gnn,eginconv,1.0,1.0,concat,True,val_best,64.2,28.3436,0.1,0.014,599403.0,9.7136,0.1062,0.9698,0.0034,0.7275,0.0462,0.2966,0.1137,0.411,0.1318,0.8879,0.0465
dilated_gnn,eginconv,1.0,1.0,none,False,val_best,65.9,18.4632,0.0972,0.0069,599102.0,13.2484,0.4706,0.9708,0.0017,0.7433,0.0219,0.3341,0.0502,0.4594,0.0525,0.9,0.0219
dilated_gnn,eginconv,1.0,1.0,none,True,val_best,76.0,20.6785,0.0997,0.008,599103.0,12.416,0.3376,0.9701,0.0021,0.741,0.0306,0.3046,0.0695,0.4279,0.0809,0.8922,0.0251
dilated_gnn,eginconv,1.0,2.0,add,False,val_best,68.5,15.9327,0.0856,0.0087,870603.0,17.531,0.2089,0.9738,0.0019,0.7763,0.0217,0.4188,0.057,0.5423,0.0535,0.9278,0.0208
